,country_name,n_wars
0,Sudan,3
1,Sri Lanka,2
2,India,1
3,Algeria,1
4,Afghanistan,2
5,Democratic Republic of the Congo,1
6,Angola,1
7,Laskar Jihad,1
8,Indonesia,1
9,Russia,1
10,Philippines,3
11,Guinea,1
12,Burundi,1
13,Rwanda,1
14,Nepal,1
15,Liberia,1
16,Cote d'Ivoire,2
17,Pakistan,2
18,Christian Tarok,1
19,Yemen,3
20,Chad,1
21,Somalia,2
22,Iraq,1
23,Libya,2
24,Syria,1
25,Myanmar,1
26,Mali,1
27,Central African Republic,1
28,Nigeria,1
29,South Sudan,1
30,Islamic State,1
31,Ukraine and Russia,1
32,Houthi Rebels,1
